Event1 onset,Trial type,ISI1,Event1Dur
0.0,2.0,6.9,2.5
5.5095,1.0,0.8,2.5
8.839,2.0,2.2,2.5
13.5872,1.0,2.8,2.5
18.9129,1.0,0.6,2.5
21.964,1.0,4.0,2.5
28.464,1.0,2.3,2.5
33.2175,1.0,0.1,2.5
35.774,2.0,1.4,2.5
39.6622,2.0,0.1,2.5
42.2861,1.0,0.2,2.5
44.9664,2.0,1.6,2.5
49.0746,1.0,0.0,2.5
51.5991,2.0,0.4,2.5
54.4775,1.0,1.1,2.5
58.1251,1.0,7.4,2.5
64.1187,1.0,1.3,2.5
67.9081,2.0,0.2,2.5
70.6533,1.0,4.0,2.5
77.1533,1.0,1.2,2.5
80.8264,2.0,0.4,2.5
83.6912,2.0,0.2,2.5
86.3999,2.0,0.4,2.5
89.2994,1.0,0.4,2.5
92.2161,2.0,0.1,2.5
94.8409,1.0,0.2,2.5
97.5188,2.0,0.7,2.5
100.6785,2.0,3.4,2.5
106.5743,1.0,0.1,2.5
109.2225,2.0,0.2,2.5
111.9001,1.0,1.5,2.5
115.901,1.0,0.6,2.5
118.956,2.0,0.6,2.5
122.0071,1.0,0.6,2.5
125.0998,1.0,1.6,2.5
129.1776,1.0,7.9,2.5
135.6776,2.0,0.9,2.5
139.0924,1.0,4.0,2.5
145.5924,2.0,2.2,2.5
150.2947,1.0,0.2,2.5
152.9742,1.0,1.2,2.5
156.6681,2.0,0.1,2.5
159.2464,2.0,0.3,2.5
162.083,1.0,0.2,2.5
164.8282,1.0,6.1,2.5
169.5101,2.0,1.2,2.5
173.1681,1.0,2.2,2.5
177.9163,2.0,0.6,2.5
181.0071,2.0,0.2,2.5
183.6866,1.0,1.4,2.5
187.5748,2.0,0.4,2.5
190.519,1.0,0.2,2.5
193.2632,2.0,0.3,2.5
196.1026,1.0,3.4,2.5
201.9913,2.0,1.8,2.5
206.3407,1.0,0.6,2.5
209.4518,2.0,7.9,2.5
215.9518,2.0,0.8,2.5
219.2814,2.0,7.7,2.5
225.623,1.0,4.0,2.5
232.123,2.0,4.0,2.5
238.623,1.0,1.8,2.5
242.9092,2.0,4.0,2.5
249.4092,1.0,3.8,2.5
255.7067,2.0,0.8,2.5
258.9853,1.0,1.8,2.5
263.2986,1.0,2.9,2.5
268.6536,2.0,3.4,2.5
274.5423,1.0,1.0,2.5
278.0077,2.0,0.2,2.5
280.6743,2.0,1.6,2.5
284.7521,1.0,5.7,2.5
289.0838,1.0,2.5,2.5
294.0991,1.0,3.9,2.5
300.4506,1.0,0.3,2.5
303.2154,2.0,1.2,2.5
306.9093,1.0,0.2,2.5
309.5759,2.0,0.4,2.5
312.4414,1.0,4.0,2.5
318.9414,2.0,2.3,2.5
323.779,2.0,1.3,2.5
327.5738,1.0,0.9,2.5
330.9977,2.0,3.8,2.5
337.2631,1.0,2.6,2.5
342.3527,2.0,0.5,2.5
345.3822,1.0,6.5,2.5
350.4513,2.0,3.5,2.5
356.4421,2.0,4.0,2.5
362.9421,2.0,4.0,2.5
369.4421,2.0,1.6,2.5
373.5237,1.0,3.8,2.5
379.8654,1.0,0.6,2.5
382.9644,1.0,0.4,2.5
385.9086,1.0,0.2,2.5
388.6173,1.0,1.0,2.5
392.0894,2.0,3.8,2.5
398.3869,1.0,0.2,2.5
401.1204,2.0,4.0,2.5
407.6204,2.0,3.5,2.5
413.614,2.0,3.3,2.5
419.4623,2.0,2.1,2.5
424.0543,2.0,0.0,2.5
426.5789,1.0,0.3,2.5
429.3881,1.0,0.4,2.5
432.3035,2.0,0.3,2.5
435.1176,1.0,1.4,2.5
438.9927,2.0,1.3,2.5
442.782,1.0,0.4,2.5
445.6737,2.0,1.8,2.5
449.9598,2.0,0.6,2.5
453.0741,1.0,1.2,2.5
456.7927,2.0,0.6,2.5
459.9038,1.0,1.5,2.5
463.8649,2.0,1.8,2.5
468.1781,2.0,2.8,2.5
473.5038,1.0,4.0,2.5
480.0038,1.0,7.9,2.5
486.5038,2.0,6.8,2.5
491.8588,2.0,1.8,2.5
496.1515,2.0,2.3,2.5
