Event1 onset,Trial type,ISI1,Event1Dur
0.0,1.0,0.6,2.5
3.0656,2.0,0.1,2.5
5.7042,1.0,0.1,2.5
8.2753,2.0,0.8,2.5
11.614,1.0,4.0,2.5
18.114,2.0,4.0,2.5
24.614,1.0,0.1,2.5
27.2464,2.0,0.3,2.5
30.0318,2.0,0.9,2.5
33.3922,1.0,0.3,2.5
36.1598,2.0,3.0,2.5
41.6876,1.0,1.5,2.5
45.7262,1.0,4.0,2.5
52.2262,1.0,4.0,2.5
58.7262,1.0,3.4,2.5
64.6391,2.0,0.8,2.5
67.9545,1.0,1.0,2.5
71.4428,2.0,2.2,2.5
76.1778,2.0,2.5,2.5
81.2028,2.0,1.5,2.5
85.2414,1.0,5.8,2.5
90.0688,2.0,4.0,2.5
96.5688,1.0,4.0,2.5
103.0688,2.0,1.4,2.5
106.973,1.0,0.6,2.5
110.0276,2.0,0.6,2.5
113.1197,2.0,2.3,2.5
117.9618,2.0,0.1,2.5
120.5868,2.0,1.3,2.5
124.3542,2.0,1.4,2.5
128.2609,2.0,0.6,2.5
131.3265,1.0,0.8,2.5
134.6066,1.0,1.1,2.5
138.1569,2.0,6.9,2.5
144.0545,1.0,4.0,2.5
150.5545,1.0,2.3,2.5
155.3965,2.0,4.0,2.5
161.8965,2.0,4.0,2.5
168.3965,1.0,2.2,2.5
173.1034,1.0,5.7,2.5
177.8385,2.0,4.0,2.5
184.3385,1.0,1.7,2.5
188.5223,2.0,2.9,2.5
193.8849,2.0,6.1,2.5
198.952,2.0,1.3,2.5
202.7925,1.0,1.3,2.5
206.6347,1.0,4.0,2.5
213.1347,2.0,4.0,2.5
219.6347,1.0,0.1,2.5
222.2416,2.0,0.7,2.5
225.4444,1.0,6.1,2.5
230.5115,1.0,4.0,2.5
237.0115,2.0,0.3,2.5
239.7738,1.0,4.0,2.5
246.2738,2.0,0.6,2.5
249.3284,1.0,1.3,2.5
253.1381,2.0,1.0,2.5
256.6811,1.0,3.6,2.5
262.7874,2.0,1.1,2.5
266.4027,1.0,0.1,2.5
269.0011,2.0,1.8,2.5
273.2652,2.0,1.0,2.5
276.7169,1.0,0.9,2.5
280.0862,1.0,4.0,2.5
286.5862,2.0,4.0,2.5
293.0862,2.0,7.5,2.5
299.5862,2.0,0.3,2.5
302.3852,1.0,0.9,2.5
305.7456,2.0,0.3,2.5
308.5213,2.0,4.0,2.5
315.0213,1.0,2.4,2.5
319.9192,1.0,0.6,2.5
323.0114,2.0,0.2,2.5
325.6778,1.0,0.7,2.5
328.8298,2.0,1.0,2.5
332.3181,1.0,4.0,2.5
338.8181,2.0,0.3,2.5
341.5857,1.0,0.1,2.5
344.2243,1.0,7.5,2.5
350.7243,2.0,1.0,2.5
354.2208,1.0,0.1,2.5
356.8518,2.0,4.0,2.5
363.3518,1.0,0.8,2.5
366.6673,1.0,0.2,2.5
369.3317,1.0,0.1,2.5
371.9069,1.0,0.5,2.5
374.8892,1.0,1.4,2.5
378.7959,2.0,0.5,2.5
381.8035,2.0,0.8,2.5
385.1148,2.0,0.7,2.5
388.3619,1.0,0.7,2.5
391.6089,2.0,0.1,2.5
394.2277,2.0,5.1,2.5
398.3636,1.0,1.1,2.5
401.9891,2.0,1.1,2.5
405.5395,1.0,1.3,2.5
409.3063,1.0,2.7,2.5
414.4895,1.0,4.0,2.5
420.9895,2.0,0.2,2.5
423.6539,1.0,0.3,2.5
426.4392,2.0,0.1,2.5
429.0144,2.0,0.5,2.5
431.9967,2.0,5.1,2.5
436.1234,1.0,0.3,2.5
438.9021,1.0,3.4,2.5
444.7628,2.0,0.9,2.5
448.1321,1.0,2.2,2.5
452.8361,1.0,1.6,2.5
456.9721,2.0,0.1,2.5
459.6031,1.0,0.3,2.5
462.3788,1.0,4.0,2.5
468.8788,2.0,0.8,2.5
472.1589,1.0,0.3,2.5
474.9578,1.0,7.5,2.5
481.4578,2.0,4.0,2.5
487.9578,2.0,0.0,2.5
490.4709,1.0,0.2,2.5
493.1373,2.0,0.4,2.5
496.0182,2.0,0.1,2.5
498.6166,1.0,4.0,2.5
