Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	1.4956	2.5000	
3.9956	1.0000	0.0921	2.5000	
6.5878	2.0000	4.0000	2.5000	
13.0878	1.0000	0.7650	2.5000	
16.3528	2.0000	0.1314	2.5000	
18.9842	1.0000	0.6503	2.5000	
22.1345	2.0000	1.8405	2.5000	
26.4750	2.0000	0.7729	2.5000	
29.7478	2.0000	4.0000	2.5000	
36.2478	1.0000	0.8880	2.5000	
39.6358	1.0000	3.4830	2.5000	
45.6188	1.0000	1.8424	2.5000	
49.9612	1.0000	0.3603	2.5000	
52.8216	1.0000	2.9477	2.5000	
58.2692	2.0000	0.7650	2.5000	
61.5342	1.0000	1.1116	2.5000	
65.1458	1.0000	0.1125	2.5000	
67.7583	2.0000	0.2453	2.5000	
70.5036	1.0000	3.0342	2.5000	
76.0378	1.0000	2.2070	2.5000	
80.7448	1.0000	4.0000	2.5000	
87.2448	1.0000	1.5074	2.5000	
91.2522	1.0000	0.0701	2.5000	
93.8223	2.0000	0.2117	2.5000	
96.5340	1.0000	0.3319	2.5000	
99.3658	1.0000	0.0375	2.5000	
101.9034	2.0000	4.0000	2.5000	
108.4034	1.0000	4.0000	2.5000	
114.9034	1.0000	0.6553	2.5000	
118.0587	2.0000	0.5857	2.5000	
121.1444	1.0000	4.0000	2.5000	
127.6444	1.0000	3.6266	2.5000	
133.7709	2.0000	0.6503	2.5000	
136.9212	1.0000	4.0000	2.5000	
143.4212	2.0000	0.7165	2.5000	
146.6377	1.0000	0.3692	2.5000	
149.5069	2.0000	0.8801	2.5000	
152.8870	2.0000	2.3431	2.5000	
157.7301	1.0000	0.0311	2.5000	
160.2612	2.0000	4.0000	2.5000	
166.7612	1.0000	4.0000	2.5000	
173.2612	1.0000	1.4202	2.5000	
177.1814	2.0000	0.1125	2.5000	
179.7939	1.0000	0.1042	2.5000	
182.3981	1.0000	2.3717	2.5000	
187.2698	2.0000	0.2163	2.5000	
189.9861	1.0000	0.3001	2.5000	
192.7862	1.0000	2.5870	2.5000	
197.8733	2.0000	3.4830	2.5000	
203.8563	2.0000	4.0000	2.5000	
210.3563	1.0000	0.1314	2.5000	
212.9877	2.0000	0.0701	2.5000	
215.5578	2.0000	0.6006	2.5000	
218.6584	1.0000	0.4290	2.5000	
221.5874	2.0000	2.9758	2.5000	
227.0632	2.0000	0.4186	2.5000	
229.9818	1.0000	1.9504	2.5000	
234.4322	1.0000	2.2395	2.5000	
239.1717	2.0000	3.4382	2.5000	
245.1099	2.0000	0.9037	2.5000	
248.5136	1.0000	3.3748	2.5000	
254.3884	1.0000	0.6371	2.5000	
257.5254	2.0000	2.5870	2.5000	
262.6125	1.0000	4.0000	2.5000	
269.1125	2.0000	2.9477	2.5000	
274.5601	1.0000	0.0060	2.5000	
277.0662	2.0000	3.0342	2.5000	
282.6003	2.0000	0.3603	2.5000	
285.4607	2.0000	0.0921	2.5000	
288.0528	2.0000	4.0000	2.5000	
294.5528	1.0000	4.0000	2.5000	
301.0528	2.0000	0.3001	2.5000	
303.8529	2.0000	0.3262	2.5000	
306.6791	1.0000	0.2020	2.5000	
309.3811	2.0000	3.9416	2.5000	
315.8227	2.0000	3.3748	2.5000	
321.6975	1.0000	0.1471	2.5000	
324.3446	1.0000	0.1282	2.5000	
326.9727	2.0000	3.0118	2.5000	
332.4845	1.0000	1.8038	2.5000	
336.7883	2.0000	4.0000	2.5000	
343.2883	1.0000	0.7593	2.5000	
346.5476	1.0000	3.8113	2.5000	
352.8589	2.0000	0.6371	2.5000	
355.9960	1.0000	1.4130	2.5000	
359.9090	1.0000	0.2163	2.5000	
362.6253	2.0000	0.8468	2.5000	
365.9721	1.0000	0.3262	2.5000	
368.7984	2.0000	0.3319	2.5000	
371.6302	2.0000	2.7775	2.5000	
376.9077	2.0000	4.0000	2.5000	
383.4077	2.0000	1.8424	2.5000	
387.7501	2.0000	1.8038	2.5000	
392.0539	2.0000	4.0000	2.5000	
398.5539	1.0000	4.0000	2.5000	
405.0539	2.0000	2.1871	2.5000	
409.7410	1.0000	0.5201	2.5000	
412.7610	2.0000	3.1148	2.5000	
418.3759	2.0000	3.7922	2.5000	
424.6681	1.0000	0.5564	2.5000	
427.7245	2.0000	1.9504	2.5000	
432.1749	2.0000	2.2395	2.5000	
436.9144	2.0000	0.4473	2.5000	
439.8617	1.0000	0.0089	2.5000	
442.3706	1.0000	1.5464	2.5000	
446.4171	2.0000	1.4623	2.5000	
450.3794	2.0000	0.8987	2.5000	
453.7780	2.0000	0.1157	2.5000	
456.3938	1.0000	4.0000	2.5000	
462.8938	1.0000	3.9416	2.5000	
469.3353	2.0000	1.9600	2.5000	
473.7953	1.0000	2.4636	2.5000	
478.7588	2.0000	1.4956	2.5000	
482.7545	1.0000	0.5857	2.5000	
485.8402	1.0000	0.0859	2.5000	
488.4261	2.0000	4.0000	2.5000	
494.9261	2.0000	2.4636	2.5000	
499.8896	2.0000	0.3692	2.5000	
502.7588	2.0000	1.4030	2.5000	
506.6619	1.0000	0.8801	2.5000	

