Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.8997	5.0000	
5.8997	1.0000	0.7075	5.0000	
11.6072	1.0000	3.4536	5.0000	
20.0609	1.0000	0.9697	5.0000	
26.0305	2.0000	1.1709	5.0000	
32.2014	2.0000	0.0779	5.0000	
37.2793	2.0000	4.0000	5.0000	
46.2793	2.0000	4.0000	5.0000	
55.2793	2.0000	4.0000	5.0000	
64.2793	1.0000	1.0009	5.0000	
70.2802	2.0000	0.2510	5.0000	
75.5313	1.0000	4.0000	5.0000	
84.5313	1.0000	0.7945	5.0000	
90.3257	2.0000	0.2427	5.0000	
95.5685	2.0000	0.2946	5.0000	
100.8631	2.0000	2.0271	5.0000	
107.8902	1.0000	0.9647	5.0000	
113.8549	2.0000	4.0000	5.0000	
122.8549	1.0000	0.1047	5.0000	
127.9596	2.0000	0.0020	5.0000	
132.9616	1.0000	0.3094	5.0000	
138.2710	1.0000	4.0000	5.0000	
147.2710	1.0000	0.5582	5.0000	
152.8292	2.0000	0.6416	5.0000	
158.4708	2.0000	1.3312	5.0000	
164.8019	2.0000	0.3944	5.0000	
170.1963	1.0000	4.0000	5.0000	
179.1963	2.0000	3.0008	5.0000	
187.1971	1.0000	0.0959	5.0000	
192.2930	2.0000	0.0798	5.0000	
197.3729	1.0000	2.3230	5.0000	
204.6959	2.0000	0.1516	5.0000	
209.8475	1.0000	2.2930	5.0000	
217.1405	1.0000	0.2510	5.0000	
222.3915	2.0000	4.0000	5.0000	
231.3915	1.0000	3.1271	5.0000	
239.5186	1.0000	3.1005	5.0000	
247.6190	1.0000	0.9230	5.0000	
253.5420	2.0000	0.2583	5.0000	
258.8003	1.0000	0.2729	5.0000	
264.0732	1.0000	0.6907	5.0000	
269.7638	2.0000	0.7649	5.0000	
275.5288	1.0000	0.0779	5.0000	
280.6067	2.0000	1.2444	5.0000	
286.8511	1.0000	3.4550	5.0000	
295.3061	1.0000	0.2708	5.0000	
300.5769	1.0000	4.0000	5.0000	
309.5769	1.0000	0.8172	5.0000	
315.3941	1.0000	2.5094	5.0000	
322.9035	1.0000	1.5566	5.0000	
329.4601	2.0000	0.1862	5.0000	
334.6463	2.0000	2.2477	5.0000	
341.8940	2.0000	1.5947	5.0000	
348.4886	2.0000	2.3434	5.0000	
355.8320	2.0000	0.7075	5.0000	
361.5396	1.0000	0.5492	5.0000	
367.0887	2.0000	0.4552	5.0000	
372.5440	1.0000	0.1862	5.0000	
377.7301	2.0000	1.4945	5.0000	
384.2246	1.0000	0.0348	5.0000	
389.2593	2.0000	4.0000	5.0000	
398.2593	2.0000	0.3094	5.0000	
403.5687	1.0000	4.0000	5.0000	
412.5687	1.0000	0.1026	5.0000	
417.6713	2.0000	3.9666	5.0000	
426.6380	2.0000	4.0000	5.0000	
435.6380	1.0000	0.1162	5.0000	
440.7542	2.0000	0.1819	5.0000	
445.9361	1.0000	0.7840	5.0000	
451.7201	2.0000	4.0000	5.0000	
460.7201	2.0000	0.9647	5.0000	
466.6848	2.0000	0.9697	5.0000	
472.6545	1.0000	0.0324	5.0000	
477.6869	2.0000	0.1307	5.0000	
482.8176	1.0000	4.0000	5.0000	
491.8176	1.0000	0.1819	5.0000	
496.9995	1.0000	1.5947	5.0000	
503.5942	1.0000	4.0000	5.0000	
512.5942	1.0000	0.1307	5.0000	
517.7249	2.0000	4.0000	5.0000	
526.7249	1.0000	1.3250	5.0000	
533.0499	1.0000	0.9740	5.0000	
539.0238	1.0000	4.0000	5.0000	
548.0238	2.0000	1.5566	5.0000	
554.5805	1.0000	4.0000	5.0000	
563.5805	2.0000	0.1458	5.0000	
568.7263	1.0000	0.9478	5.0000	
574.6741	2.0000	0.1026	5.0000	
579.7767	1.0000	2.0271	5.0000	
586.8038	2.0000	2.5094	5.0000	
594.3132	2.0000	3.4536	5.0000	
602.7668	1.0000	4.0000	5.0000	
611.7668	1.0000	3.6329	5.0000	
620.3997	2.0000	2.9728	5.0000	
628.3724	2.0000	0.5582	5.0000	
633.9306	2.0000	0.9230	5.0000	
639.8536	2.0000	4.0000	5.0000	
648.8536	1.0000	4.0000	5.0000	
657.8536	1.0000	0.4725	5.0000	
663.3261	2.0000	0.5492	5.0000	
668.8752	1.0000	0.2399	5.0000	
674.1151	1.0000	2.9728	5.0000	
682.0879	1.0000	0.0798	5.0000	
687.1677	1.0000	0.1516	5.0000	
692.3194	1.0000	3.6952	5.0000	
701.0145	1.0000	1.6077	5.0000	
707.6223	2.0000	4.0000	5.0000	
716.6223	2.0000	4.0000	5.0000	
725.6223	2.0000	0.3607	5.0000	
730.9830	2.0000	4.0000	5.0000	
739.9830	2.0000	4.0000	5.0000	
748.9830	2.0000	0.8997	5.0000	
754.8827	2.0000	1.6771	5.0000	
761.5599	1.0000	0.3907	5.0000	
766.9506	2.0000	1.7674	5.0000	
773.7180	1.0000	4.0000	5.0000	
782.7180	2.0000	1.6077	5.0000	
789.3257	2.0000	4.0000	5.0000	
798.3257	2.0000	0.3907	5.0000	
803.7165	2.0000	1.4506	5.0000	

