Event1 onset,Trial type,ISI1,Event1Dur
0.0,2.0,0.6,2.2
2.7639,1.0,0.9,2.2
5.8891,1.0,0.6,2.2
8.6494,2.0,1.8,2.2
12.6394,2.0,5.0,2.2
19.8394,2.0,1.6,2.2
23.6887,1.0,0.6,2.2
26.4526,2.0,2.8,2.2
31.4924,1.0,2.0,2.2
35.7138,2.0,0.8,2.2
38.6753,2.0,3.9,2.2
44.7379,2.0,0.8,2.2
47.7164,1.0,1.4,2.2
51.2753,2.0,0.6,2.2
54.0356,2.0,0.5,2.2
56.7821,2.0,0.8,2.2
59.7882,1.0,1.7,2.2
63.7323,2.0,3.9,2.2
69.8404,2.0,2.9,2.2
74.9523,1.0,5.0,2.2
82.1234,2.0,2.4,2.2
86.7232,1.0,1.5,2.2
90.41,1.0,2.3,2.2
94.8971,1.0,3.0,2.2
100.1044,1.0,1.7,2.2
103.9693,2.0,5.0,2.2
111.1693,1.0,5.0,2.2
118.3693,2.0,4.9,2.2
125.5025,1.0,2.3,2.2
129.4924,2.0,5.0,2.2
136.6924,1.0,0.9,2.2
139.8349,1.0,0.6,2.2
142.5929,2.0,1.8,2.2
146.6159,1.0,5.0,2.2
153.8159,1.0,5.0,2.2
161.0159,2.0,1.7,2.2
164.8808,1.0,1.5,2.2
168.6022,2.0,0.7,2.2
171.507,1.0,3.3,2.2
176.9944,2.0,0.5,2.2
179.7424,1.0,1.8,2.2
183.7209,1.0,0.6,2.2
186.5542,2.0,5.0,2.2
193.7542,2.0,1.6,2.2
197.5102,1.0,1.8,2.2
201.5368,1.0,0.8,2.2
204.5441,2.0,3.6,2.2
209.8712,1.0,5.5,2.2
217.0712,2.0,1.1,2.2
220.3774,1.0,3.3,2.2
225.8561,1.0,5.0,2.2
233.0561,2.0,5.0,2.2
240.2561,1.0,0.9,2.2
243.3259,1.0,3.9,2.2
248.9743,2.0,4.2,2.2
255.4032,1.0,1.3,2.2
258.9315,2.0,5.0,2.2
266.1315,2.0,0.5,2.2
268.8803,1.0,1.4,2.2
272.5241,1.0,5.0,2.2
279.7241,2.0,5.0,2.2
286.9241,2.0,1.5,2.2
290.627,1.0,0.6,2.2
293.4726,1.0,5.0,2.2
300.6726,1.0,2.7,2.2
305.5492,2.0,1.1,2.2
308.82,2.0,0.5,2.2
311.5634,1.0,0.7,2.2
314.4682,1.0,1.1,2.2
317.739,2.0,1.4,2.2
321.3829,2.0,2.9,2.2
326.4694,1.0,0.8,2.2
329.4754,2.0,2.1,2.2
333.7331,2.0,0.9,2.2
336.8756,1.0,5.0,2.2
344.0756,2.0,1.7,2.2
348.0056,1.0,3.5,2.2
353.7217,2.0,5.5,2.2
360.9217,1.0,2.1,2.2
364.6912,1.0,5.0,2.2
371.8912,1.0,3.2,2.2
377.2429,1.0,0.7,2.2
380.126,2.0,0.6,2.2
382.9716,2.0,1.2,2.2
386.3838,1.0,1.8,2.2
390.4069,2.0,1.5,2.2
394.0584,1.0,4.2,2.2
400.4142,2.0,0.7,2.2
403.3533,2.0,1.0,2.2
406.5805,1.0,3.0,2.2
411.7553,2.0,1.1,2.2
415.0123,1.0,1.1,2.2
418.2694,2.0,2.6,2.2
423.0317,2.0,5.0,2.2
430.2028,1.0,5.0,2.2
437.4028,2.0,2.2,2.2
441.8022,2.0,5.0,2.2
449.0022,2.0,5.0,2.2
456.1984,2.0,3.5,2.2
461.3731,2.0,2.6,2.2
465.707,1.0,4.4,2.2
472.3564,2.0,1.8,2.2
476.3828,1.0,0.8,2.2
479.4064,1.0,5.0,2.2
486.6064,1.0,2.0,2.2
490.7671,1.0,3.9,2.2
496.8752,2.0,1.3,2.2
500.3445,1.0,2.0,2.2
504.5656,2.0,0.6,2.2
507.4095,1.0,2.3,2.2
511.8614,1.0,1.4,2.2
515.4852,2.0,5.0,2.2
522.6852,1.0,0.6,2.2
525.5291,2.0,1.2,2.2
528.9497,1.0,2.9,2.2
533.5495,2.0,4.2,2.2
539.9897,2.0,2.2,2.2
544.3548,1.0,5.5,2.2
551.5509,1.0,1.0,2.2
554.7782,2.0,2.0,2.2
