Event1 onset,Trial type,ISI1,Event1Dur
0.0,2.0,8.1,2.2
7.2,1.0,2.1,2.2
11.4801,2.0,1.3,2.2
14.935,1.0,0.8,2.2
17.9505,2.0,2.2,2.2
22.3461,1.0,4.4,2.2
28.9755,2.0,5.0,2.2
36.1755,2.0,0.6,2.2
38.9582,2.0,3.2,2.2
44.3713,2.0,1.2,2.2
47.7428,1.0,1.2,2.2
51.1143,2.0,0.9,2.2
54.1793,2.0,1.4,2.2
57.7383,2.0,1.5,2.2
61.4034,1.0,2.8,2.2
66.3984,2.0,0.6,2.2
69.2153,1.0,0.7,2.2
72.1203,2.0,1.8,2.2
76.117,1.0,8.1,2.2
83.317,1.0,4.7,2.2
90.1999,1.0,3.6,2.2
95.9862,2.0,1.4,2.2
99.5719,1.0,0.6,2.2
102.3546,1.0,0.8,2.2
105.3804,2.0,2.7,2.2
110.2827,2.0,6.1,2.2
115.435,1.0,1.4,2.2
119.0208,2.0,1.4,2.2
122.6349,1.0,5.0,2.2
129.8349,2.0,1.6,2.2
133.6738,1.0,1.5,2.2
137.3389,2.0,1.0,2.2
140.5278,1.0,5.0,2.2
147.7278,1.0,2.7,2.2
152.6222,2.0,0.8,2.2
155.6379,2.0,0.6,2.2
158.442,1.0,1.0,2.2
161.629,2.0,0.7,2.2
164.4898,2.0,4.7,2.2
171.3727,2.0,3.8,2.2
177.3407,2.0,0.8,2.2
180.3665,1.0,0.7,2.2
183.3114,2.0,0.7,2.2
186.1739,1.0,1.0,2.2
189.4119,1.0,5.1,2.2
193.653,1.0,0.7,2.2
196.5803,1.0,3.1,2.2
201.892,1.0,5.0,2.2
209.092,1.0,0.7,2.2
211.9545,1.0,0.9,2.2
215.0969,2.0,1.0,2.2
218.3349,1.0,2.6,2.2
223.1203,2.0,4.8,2.2
230.166,2.0,4.7,2.2
237.053,1.0,1.7,2.2
240.9875,2.0,2.4,2.2
245.5494,1.0,1.2,2.2
248.9718,2.0,5.0,2.2
256.1718,1.0,2.1,2.2
260.4886,1.0,1.5,2.2
264.1992,2.0,0.7,2.2
267.1441,1.0,3.2,2.2
272.5571,1.0,5.0,2.2
279.7571,1.0,6.1,2.2
284.9095,1.0,2.8,2.2
289.9405,1.0,1.0,2.2
293.1619,2.0,5.0,2.2
300.3619,1.0,4.6,2.2
307.1693,2.0,1.5,2.2
310.8798,2.0,1.2,2.2
314.3022,2.0,3.6,2.2
320.1402,2.0,2.5,2.2
324.8025,1.0,5.0,2.2
332.0025,2.0,0.7,2.2
334.8793,1.0,2.7,2.2
339.7816,2.0,0.7,2.2
342.7075,2.0,1.2,2.2
346.1019,1.0,5.0,2.2
353.3019,2.0,1.1,2.2
356.6075,1.0,1.3,2.2
360.1007,1.0,1.9,2.2
364.2464,1.0,7.7,2.2
371.0406,1.0,5.0,2.2
378.2406,1.0,1.4,2.2
381.8377,1.0,0.7,2.2
384.7413,2.0,0.8,2.2
387.7825,1.0,0.6,2.2
390.5934,2.0,2.8,2.2
395.6244,2.0,5.0,2.2
402.8244,2.0,0.6,2.2
405.5952,1.0,0.8,2.2
408.618,2.0,1.7,2.2
412.5409,2.0,2.7,2.2
417.4353,1.0,4.3,2.2
423.9688,1.0,5.0,2.2
428.038,2.0,1.2,2.2
431.4715,1.0,5.4,2.2
435.9547,2.0,4.6,2.2
442.7621,2.0,1.0,2.2
445.9379,1.0,1.0,2.2
449.1758,1.0,1.4,2.2
452.7436,2.0,5.0,2.2
459.9436,2.0,0.7,2.2
462.871,1.0,5.8,2.2
467.7326,1.0,0.8,2.2
470.7482,1.0,4.8,2.2
477.7277,1.0,1.1,2.2
481.0456,1.0,1.4,2.2
484.6597,2.0,0.9,2.2
487.7165,2.0,0.8,2.2
490.7487,1.0,5.0,2.2
497.9487,2.0,4.4,2.2
504.5781,2.0,0.6,2.2
507.3666,1.0,2.5,2.2
512.0317,1.0,1.4,2.2
515.5907,2.0,0.8,2.2
518.6229,2.0,1.8,2.2
522.5757,2.0,1.2,2.2
525.9508,2.0,0.9,2.2
529.0023,2.0,5.1,2.2
