jitter,AR_invalid_sequence,valid_type,cue,target
0.6,1,invalid,right,left
0.1,1,invalid,left,right
0.1,1,invalid,left,right
0.8,1,invalid,right,left
4.0,1,invalid,right,left
4.0,1,invalid,right,left
0.1,1,invalid,right,left
0.3,0,valid,left,left
0.9,1,invalid,left,right
0.3,0,valid,right,right
3.0,1,invalid,right,left
1.5,1,invalid,left,right
4.0,0,valid,left,left
4.0,0,valid,right,right
3.4,0,valid,right,right
0.8,1,invalid,right,left
1.0,0,valid,right,right
2.2,1,invalid,left,right
2.5,0,valid,left,left
1.5,0,valid,left,left
5.8,0,valid,left,left
4.0,0,valid,left,left
4.0,1,invalid,left,right
1.4,1,invalid,right,left
0.6,0,valid,right,right
0.6,0,valid,left,left
2.3,1,invalid,left,right
0.1,0,valid,left,left
1.3,0,valid,right,right
1.4,0,valid,left,left
0.6,0,valid,left,left
0.8,0,valid,right,right
1.1,1,invalid,left,right
6.9,0,valid,right,right
4.0,1,invalid,left,right
2.3,1,invalid,right,left
4.0,1,invalid,right,left
4.0,0,valid,right,right
2.2,0,valid,left,left
5.7,1,invalid,right,left
4.0,1,invalid,right,left
1.7,0,valid,right,right
2.9,0,valid,left,left
6.1,1,invalid,left,right
1.3,0,valid,right,right
1.3,0,valid,right,right
4.0,1,invalid,right,left
4.0,1,invalid,left,right
0.1,0,valid,right,right
0.7,0,valid,right,right
6.1,0,valid,left,left
4.0,0,valid,left,left
0.3,1,invalid,right,left
4.0,0,valid,right,right
0.6,1,invalid,left,right
1.3,0,valid,right,right
1.0,1,invalid,left,right
3.6,1,invalid,left,right
1.1,0,valid,right,right
0.1,0,valid,left,left
1.8,1,invalid,left,right
1.0,0,valid,right,right
0.9,0,valid,right,right
4.0,0,valid,right,right
4.0,1,invalid,right,left
7.5,1,invalid,right,left
0.3,1,invalid,right,left
0.9,0,valid,left,left
0.3,1,invalid,right,left
4.0,1,invalid,right,left
2.4,1,invalid,right,left
0.6,0,valid,left,left
0.2,0,valid,left,left
0.7,1,invalid,right,left
1.0,0,valid,left,left
4.0,1,invalid,left,right
0.3,1,invalid,left,right
0.1,0,valid,left,left
7.5,0,valid,right,right
1.0,0,valid,left,left
0.1,1,invalid,left,right
4.0,1,invalid,left,right
0.8,1,invalid,right,left
0.2,0,valid,left,left
0.1,0,valid,right,right
0.5,0,valid,left,left
1.4,0,valid,left,left
0.5,0,valid,right,right
0.8,1,invalid,left,right
0.7,0,valid,left,left
0.7,1,invalid,right,left
0.1,1,invalid,left,right
5.1,1,invalid,left,right
1.1,1,invalid,left,right
1.1,1,invalid,left,right
1.3,1,invalid,left,right
2.7,1,invalid,left,right
4.0,1,invalid,right,left
0.2,1,invalid,left,right
0.3,1,invalid,right,left
0.1,0,valid,left,left
0.5,1,invalid,right,left
5.1,0,valid,right,right
0.3,1,invalid,right,left
3.4,1,invalid,right,left
0.9,1,invalid,right,left
2.2,1,invalid,left,right
1.6,1,invalid,left,right
0.1,1,invalid,left,right
0.3,0,valid,right,right
4.0,0,valid,right,right
0.8,0,valid,left,left
0.3,1,invalid,right,left
7.5,0,valid,left,left
4.0,1,invalid,left,right
0.0,0,valid,right,right
0.2,1,invalid,right,left
0.4,0,valid,right,right
0.1,0,valid,left,left
4.0,0,valid,right,right
