jitter,AR_invalid_sequence,valid_type,cue,target
0.7,1,invalid,right,left
0.7,1,invalid,right,left
1.8,1,invalid,left,right
0.6,0,valid,right,right
0.1,1,invalid,right,left
0.9,1,invalid,left,right
1.0,0,valid,left,left
0.4,1,invalid,right,left
4.0,1,invalid,left,right
0.5,1,invalid,left,right
2.5,0,valid,right,right
4.0,0,valid,left,left
1.6,1,invalid,right,left
0.1,1,invalid,left,right
3.2,1,invalid,right,left
0.0,0,valid,right,right
0.8,1,invalid,right,left
4.0,1,invalid,left,right
6.6,1,invalid,right,left
1.0,1,invalid,right,left
0.6,1,invalid,right,left
3.2,0,valid,left,left
0.1,1,invalid,left,right
0.6,0,valid,left,left
0.0,0,valid,right,right
2.8,1,invalid,left,right
0.5,0,valid,left,left
2.7,1,invalid,left,right
0.4,1,invalid,left,right
0.3,1,invalid,right,left
1.0,1,invalid,right,left
3.2,1,invalid,left,right
5.3,0,valid,left,left
4.0,0,valid,left,left
2.4,0,valid,left,left
0.4,0,valid,left,left
2.6,0,valid,right,right
0.8,0,valid,left,left
1.0,1,invalid,right,left
0.9,1,invalid,left,right
4.0,1,invalid,left,right
0.7,1,invalid,right,left
1.9,1,invalid,left,right
0.2,0,valid,right,right
0.1,1,invalid,right,left
1.2,0,valid,right,right
4.2,0,valid,left,left
0.3,0,valid,left,left
0.1,1,invalid,left,right
0.5,0,valid,right,right
3.9,0,valid,right,right
4.0,1,invalid,right,left
6.2,1,invalid,left,right
2.7,0,valid,left,left
2.6,1,invalid,right,left
3.0,0,valid,left,left
0.8,1,invalid,left,right
0.6,0,valid,right,right
0.8,1,invalid,right,left
4.0,1,invalid,right,left
3.6,0,valid,left,left
0.4,1,invalid,left,right
4.0,1,invalid,left,right
0.3,1,invalid,left,right
6.6,0,valid,left,left
0.1,1,invalid,right,left
0.8,0,valid,right,right
3.6,0,valid,right,right
2.3,1,invalid,left,right
0.4,0,valid,right,right
4.0,0,valid,right,right
4.0,1,invalid,left,right
3.9,0,valid,right,right
0.4,1,invalid,right,left
4.0,0,valid,right,right
0.7,1,invalid,left,right
0.7,0,valid,left,left
1.0,1,invalid,right,left
4.4,1,invalid,left,right
0.7,1,invalid,right,left
0.9,1,invalid,right,left
0.0,0,valid,right,right
4.0,0,valid,left,left
0.7,0,valid,right,right
1.4,0,valid,right,right
0.8,0,valid,left,left
1.6,0,valid,right,right
4.0,0,valid,right,right
2.5,0,valid,right,right
0.4,0,valid,left,left
5.6,1,invalid,left,right
4.8,1,invalid,right,left
0.1,0,valid,left,left
0.7,0,valid,right,right
5.3,1,invalid,left,right
4.0,1,invalid,right,left
4.0,0,valid,left,left
1.6,1,invalid,right,left
0.8,1,invalid,left,right
1.0,1,invalid,right,left
6.6,1,invalid,left,right
2.6,1,invalid,right,left
0.1,1,invalid,left,right
0.3,1,invalid,left,right
0.0,1,invalid,right,left
1.0,0,valid,left,left
4.0,0,valid,left,left
3.6,0,valid,right,right
2.7,0,valid,right,right
0.7,1,invalid,right,left
3.2,0,valid,right,right
0.6,1,invalid,left,right
4.0,1,invalid,left,right
4.0,0,valid,right,right
3.2,0,valid,left,left
1.2,0,valid,left,left
1.0,0,valid,left,left
0.7,0,valid,left,left
0.1,1,invalid,right,left
0.8,1,invalid,right,left
