param_fmriSession,param_experiment_start,param_memory_session_name,p1_fixation_onset,p1_fixation_duration,p2_stimuli_onset,event01_dummy_stimuli,event01_stimuli_filename,event02_isi_onset,event03_last_fixation,event03_fixation_duration,param_end_instruct_onset,param_experimentDuration
4,1605246152.79369,stud2,0,0,1605246157.81225,0,obj038broom.png,1605246158.8293,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246159.84635,0,obj105flag.png,1605246160.8634,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246161.88046,0,obj113fox.png,1605246162.89751,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246163.91456,1,obj095envelope.png,1605246164.93161,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246165.94866,1,obj008ashtray.png,1605246166.96571,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246167.98276,1,obj173lock.png,1605246168.99981,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246170.01686,1,obj034bowl.png,1605246171.03391,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246172.05096,1,obj215pencilsharpener.png,1605246173.06801,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246174.08506,1,obj047can.png,1605246175.10211,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246176.11916,1,obj155king.png,1605246177.13621,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246178.15326,1,obj322unicycle.png,1605246179.17031,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246180.18737,1,obj188mountain.png,1605246181.20442,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246182.22147,1,obj128hamburger.png,1605246183.23852,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246184.25557,1,obj107flower.png,1605246185.27262,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246186.28967,1,obj255sailor.png,1605246187.30672,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246188.32377,1,obj150jar.png,1605246189.34082,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246190.35787,1,obj345wrench.png,1605246191.37492,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246192.39197,1,obj248roof.png,1605246193.40902,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246194.42607,1,obj108flute.png,1605246195.44312,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246196.46017,1,obj098fan.png,1605246197.47723,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246198.51095,1,obj071cowboy.png,1605246199.528,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246200.56172,1,obj053cat.png,1605246201.57877,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246202.59582,1,obj264shark.png,1605246203.61287,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246204.62993,0,obj166lightbulb.png,1605246205.64698,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246206.66403,0,obj167lightning.png,1605246207.68108,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
4,1605246152.79369,stud2,0,0,1605246208.69813,0,obj237radio.png,1605246209.71518,1605246210.73223,2.07197332382202,1605246212.81036,60.0166666507721
